model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,3,8,1,0.1,14.291425704956055,3.4960293769836426,3.780400204337638
GAT,0,3,8,2,0.001,15219199.0,3395.204345703125,3901.1791807093405
GAT,0,3,8,2,0.01,1053781.625,895.518310546875,1026.5386622042056
GAT,0,3,8,2,0.1,9763.158203125,85.11473846435547,98.80869497733993
GAT,0,3,8,4,0.001,9441925.0,2675.10498046875,3072.7715502458036
GAT,0,3,8,4,0.01,1241650.625,971.7772216796875,1114.2937785880347
GAT,0,3,8,4,0.1,2.224597692489624,1.369732141494751,1.4915085291374046
GAT,0,3,16,1,0.001,1836710144.0,37326.9609375,42856.8564409477
GAT,0,3,16,1,0.01,805833.625,780.924560546875,897.6823630884145
GAT,0,3,16,1,0.1,16.410125732421875,3.786940813064575,4.050941339049712
GAT,0,3,16,2,0.001,1585283.75,1097.2391357421875,1259.080517679469
GAT,0,3,16,2,0.01,355221.96875,518.2223510742188,596.0050073195695
GAT,0,3,16,2,0.1,32383.6640625,155.6663360595703,179.9546166745938
GAT,0,3,16,4,0.001,202519.359375,392.86346435546875,450.0215099025823
GAT,0,3,16,4,0.01,411296.375,559.3475952148438,641.3239236142684
GAT,0,3,16,4,0.1,30.849496841430664,5.364726543426514,5.55423233592462
GAT,0,3,32,1,0.001,4415651.5,1829.7889404296875,2101.3451644125485
GAT,0,3,32,1,0.01,579988.25,663.7374877929688,761.5695962943898
GAT,0,3,32,1,0.1,2333.283447265625,41.057865142822266,48.304072781346555
GAT,0,3,32,2,0.001,112.88768005371094,6.50978422164917,10.624861413388455
GAT,0,3,32,2,0.01,841293.375,797.9320678710938,917.2204615031219
GAT,0,3,32,2,0.1,2.4545347690582275,1.0092061758041382,1.5666954934058588
GAT,0,3,32,4,0.001,1646438.75,1117.593017578125,1283.1362943974425
GAT,0,3,32,4,0.01,433.7956848144531,17.02493667602539,20.82776235735498
GAT,0,3,32,4,0.1,2.0694186687469482,1.2244940996170044,1.438547416231717
GAT,1,1,8,1,0.001,7617980928.0,75886.359375,87281.04563993262
GAT,1,1,8,1,0.01,77448167424.0,241982.171875,278295.1085161218
GAT,1,1,8,1,0.1,4313085.5,1809.27978515625,2076.796932778937
GAT,1,1,8,2,0.001,234749328.0,13331.462890625,15321.531516137673
GAT,1,1,8,2,0.01,82175.984375,241.77493286132812,286.66353862149964
GAT,1,1,8,2,0.1,64376768.0,6979.01708984375,8023.513444869398
GAT,1,1,8,4,0.001,586272.75,670.0667114257812,765.6844976881797
GAT,1,1,8,4,0.01,65205032.0,7019.62548828125,8074.9632816502635
GAT,1,1,8,4,0.1,61650396.0,6826.1337890625,7851.776614244703
GAT,1,1,16,1,0.001,1777363845120.0,1159224.375,1333178.0995500938
GAT,1,1,16,1,0.01,2770606.5,1447.5626220703125,1664.5138930029993
GAT,1,1,16,1,0.1,12953954.0,3134.672119140625,3599.160179819731
GAT,1,1,16,2,0.001,14846891.0,3355.22412109375,3853.1663602808535
GAT,1,1,16,2,0.01,87948.53125,262.81036376953125,296.561176235191
GAT,1,1,16,2,0.1,2886015.5,1476.1119384765625,1698.8276840221317
GAT,1,1,16,4,0.001,26312560.0,4453.92626953125,5129.57698060961
GAT,1,1,16,4,0.01,3033154.5,1513.2127685546875,1741.5953892910948
GAT,1,1,16,4,0.1,18.63217544555664,4.068203926086426,4.316500370155972
GAT,1,1,32,1,0.001,40982312.0,5564.041015625,6401.74288768301
GAT,1,1,32,1,0.01,51774696.0,6255.90087890625,7195.463570889648
GAT,1,1,32,1,0.1,4.963393688201904,1.8789199590682983,2.2278675203435916
GAT,1,1,32,2,0.001,19530100.0,3847.8876953125,4419.287272852943
GAT,1,1,32,2,0.01,11282096.0,2920.9970703125,3358.8831477144304
GAT,1,1,32,2,0.1,20773604.0,3963.786376953125,4557.806928776163
GAT,1,1,32,4,0.001,3161291.0,1542.8046875,1778.0019685028474
GAT,1,1,32,4,0.01,42303968.0,5653.63232421875,6504.150059769531
GAT,1,1,32,4,0.1,19.130266189575195,4.12896728515625,4.373815975732769
GAT,1,2,8,1,0.001,1025329725440.0,880460.125,1012585.663260151
GAT,1,2,8,1,0.01,12038969.0,3014.10546875,3469.721746768752
GAT,1,2,8,1,0.1,16.51369857788086,3.7989213466644287,4.063705030865412
GAT,1,2,8,2,0.001,165253.5,359.6932373046875,406.5138374028614
GAT,1,2,8,2,0.01,2773191.0,1446.761962890625,1665.290064823543
GAT,1,2,8,2,0.1,13.553653717041016,3.386998176574707,3.68152872011628
