model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,13,0,256,4,6,0.3,0.001,0.0,1.193890929222107,2.1233763694763184,1.4571809666188749,1.2267392873764038,2.2085797786712646,1.486129125840438,1.2243174314498901,2.196146249771118,1.4819400290737537
GAT,13,1,256,4,6,0.3,0.001,0.0,1.196732521057129,2.133212089538574,1.4605519811148708,1.2217063903808594,2.203530788421631,1.4844294487855025,1.2220836877822876,2.201753616333008,1.4838307236113586
GAT,13,2,256,4,6,0.3,0.001,0.0,1.2140954732894897,2.152472496032715,1.467130701755203,1.2416331768035889,2.233081817626953,1.4943499649101455,1.2398277521133423,2.2252492904663086,1.491726949031326
GAT,14,0,256,4,6,0.4,0.0005,0.0,1.23770272731781,2.2313897609710693,1.4937837062209072,1.2545499801635742,2.2797908782958984,1.5098976383503282,1.2546308040618896,2.272615909576416,1.5075197874576691
GAT,14,1,256,4,6,0.4,0.0005,0.0,1.2389236688613892,2.2336888313293457,1.4945530540363383,1.2575757503509521,2.2868995666503906,1.5122498360556667,1.2547584772109985,2.285046339035034,1.5116369732958486
GAT,14,2,256,4,6,0.4,0.0005,0.0,1.2287870645523071,2.214277982711792,1.4880450203914504,1.2468247413635254,2.272111654281616,1.5073525315206182,1.2419288158416748,2.2540159225463867,1.501338044061492
GAT,15,0,256,4,6,0.4,0.001,0.0,1.1874548196792603,2.120013952255249,1.456026769072344,1.2183526754379272,2.2024881839752197,1.484078227040347,1.214902639389038,2.187777519226074,1.4791137614213703
GAT,15,1,256,4,6,0.4,0.001,0.0,1.1922893524169922,2.1273281574249268,1.45853630651586,1.2157704830169678,2.1900761127471924,1.4798905745855646,1.2177650928497314,2.1965086460113525,1.4820622949158893
GAT,15,2,256,4,6,0.4,0.001,0.0,1.1973098516464233,2.1393768787384033,1.462660889864224,1.2274237871170044,2.225370407104492,1.491767544594161,1.2246556282043457,2.216310977935791,1.4887279731152334
GAT,16,0,256,6,4,0.3,0.0005,0.0,1.3031501770019531,2.3903467655181885,1.5460746312898963,1.3166050910949707,2.427955150604248,1.5581897030221474,1.3168755769729614,2.4289979934692383,1.5585242999290188
GAT,16,1,256,6,4,0.3,0.0005,0.0,1.3057975769042969,2.395517587661743,1.5477459700033929,1.3121598958969116,2.417961835861206,1.5549796898548887,1.3132266998291016,2.4218075275421143,1.556215771524667
GAT,16,2,256,6,4,0.3,0.0005,0.0,1.308171033859253,2.407406806945801,1.5515820335856563,1.3193397521972656,2.4430713653564453,1.563032746092175,1.3173418045043945,2.437063694000244,1.5611097635977569
GAT,17,0,256,6,4,0.3,0.001,0.0,1.2187551259994507,2.178480386734009,1.4759676103268693,1.2435576915740967,2.249065637588501,1.4996885135215583,1.23959481716156,2.2334930896759033,1.4944875675882698
GAT,17,1,256,6,4,0.3,0.001,0.0,1.2306530475616455,2.2037112712860107,1.4844902395388158,1.2501529455184937,2.2633652687072754,1.5044484932051596,1.2509536743164062,2.262153148651123,1.5040455939402646
GAT,17,2,256,6,4,0.3,0.001,0.0,1.2246845960617065,2.181185722351074,1.4768837876932208,1.2500957250595093,2.254763603210449,1.5015870281839974,1.2484490871429443,2.247285842895508,1.4990950079616394
GAT,18,0,256,6,4,0.4,0.0005,0.0,1.2957510948181152,2.375994920730591,1.541426261853155,1.3062142133712769,2.413238048553467,1.5534600247684094,1.3047199249267578,2.4042067527770996,1.5505504676653061
GAT,18,1,256,6,4,0.4,0.0005,0.0,1.278053879737854,2.332611322402954,1.5272888798138202,1.2824259996414185,2.3451449871063232,1.5313866223479697,1.2848882675170898,2.3542542457580566,1.5343579262212768
GAT,18,2,256,6,4,0.4,0.0005,0.0,1.2576872110366821,2.270968437194824,1.5069732702323635,1.2662850618362427,2.3008759021759033,1.5168638377177772,1.266324758529663,2.299652099609375,1.5164603851104634
GAT,19,0,256,6,4,0.4,0.001,0.0,1.2577015161514282,2.250495672225952,1.5001652149766544,1.2760628461837769,2.302351951599121,1.517350306158443,1.2758266925811768,2.2978992462158203,1.5158823325759228
GAT,19,1,256,6,4,0.4,0.001,0.0,1.2716912031173706,2.2822060585021973,1.5106972094043853,1.2804338932037354,2.309684991836548,1.5197647817463555,1.2873221635818481,2.32787823677063,1.5257385872981748
GAT,19,2,256,6,4,0.4,0.001,0.0,1.2635951042175293,2.257791519165039,1.5025949285037,1.2794899940490723,2.3038485050201416,1.517843373019806,1.2778818607330322,2.300832509994507,1.5168495343950588
GAT,20,0,256,6,6,0.3,0.0005,0.0,1.2718238830566406,2.3485140800476074,1.5324862413893339,1.2827569246292114,2.3838517665863037,1.5439727220991644,1.2822930812835693,2.3767895698547363,1.5416840045400797
GAT,20,1,256,6,6,0.3,0.0005,0.0,1.2579213380813599,2.3282082080841064,1.525846718410505,1.2638481855392456,2.3535540103912354,1.5341297241078524,1.262856125831604,2.355350971221924,1.5347152736654197
GAT,20,2,256,6,6,0.3,0.0005,0.0,1.311104416847229,2.4197018146514893,1.5555390752570277,1.3196074962615967,2.4461863040924072,1.5640288693283149,1.314394235610962,2.436908483505249,1.5610600512168804
GAT,21,0,256,6,6,0.3,0.001,0.0,1.2474263906478882,2.2443835735321045,1.4981266880781827,1.26871657371521,2.3025989532470703,1.5174316964025334,1.2640634775161743,2.2865192890167236,1.5121240984180906
GAT,21,1,256,6,6,0.3,0.001,0.0,1.219177007675171,2.1859304904937744,1.4784892595124843,1.2422773838043213,2.2533085346221924,1.501102439749597,1.2440739870071411,2.255341053009033,1.5017792957052756
GAT,21,2,256,6,6,0.3,0.001,0.0,1.2283321619033813,2.196166753768921,1.4819469470156215,1.25421941280365,2.273589611053467,1.5078427010313333,1.2497835159301758,2.25610089302063,1.5020322543210016
GAT,22,0,256,6,6,0.4,0.0005,0.0,1.2848873138427734,2.359349489212036,1.5360174117541885,1.296666145324707,2.396796226501465,1.5481589797244548,1.2954515218734741,2.3846025466918945,1.5442158355268523
GAT,22,1,256,6,6,0.4,0.0005,0.0,1.2788032293319702,2.355060338973999,1.5346205846964256,1.280138373374939,2.362105369567871,1.5369142362434773,1.2847925424575806,2.377863645553589,1.5420323101522837
GAT,22,2,256,6,6,0.4,0.0005,0.0,1.2668108940124512,2.345005750656128,1.5313411607659895,1.2759296894073486,2.36734938621521,1.538619311660688,1.2728066444396973,2.361887216567993,1.5368432635008662
GAT,23,0,256,6,6,0.4,0.001,0.0,1.2854952812194824,2.313124656677246,1.5208960045569342,1.3050364255905151,2.376811981201172,1.541691272985993,1.3043113946914673,2.368412494659424,1.5389647476987327
GAT,23,1,256,6,6,0.4,0.001,0.0,1.2282952070236206,2.2101454734802246,1.4866558019529015,1.248022437095642,2.268139362335205,1.5060343164533818,1.246215581893921,2.266350507736206,1.5054403036109423
GAT,23,2,256,6,6,0.4,0.001,0.0,1.3358972072601318,2.4552762508392334,1.5669321143046477,1.3455547094345093,2.491016387939453,1.5782954057905172,1.341109275817871,2.4787087440490723,1.574391547248991
