model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,27,0,256,2,6,0.3,0.001,0.001,1.2302765846252441,2.2207181453704834,1.490207416895542,1.2401320934295654,2.2487668991088867,1.4995889100379767,1.2355685234069824,2.234567165374756,1.4948468702093722
GAT,27,1,256,2,6,0.3,0.001,0.001,1.2194914817810059,2.2237143516540527,1.4912123764420857,1.2200770378112793,2.2328567504882812,1.4942746569785226,1.2204537391662598,2.2319016456604004,1.4939550346849133
GAT,27,2,256,2,6,0.3,0.001,0.001,1.2321628332138062,2.2296202182769775,1.4931912865661177,1.234946846961975,2.242758274078369,1.4975841459091268,1.236922264099121,2.2448670864105225,1.4982880518813873
GAT,28,0,256,2,6,0.4,0.0005,0.0005,1.2666089534759521,2.310128927230835,1.5199108287103014,1.275899052619934,2.333972454071045,1.527734418696864,1.2679293155670166,2.313652515411377,1.5210695301041885
GAT,28,1,256,2,6,0.4,0.0005,0.0005,1.3066927194595337,2.4135329723358154,1.5535549466741805,1.3047105073928833,2.416984796524048,1.5546654934499728,1.3091630935668945,2.415276527404785,1.5541159954793546
GAT,28,2,256,2,6,0.4,0.0005,0.0005,1.2948596477508545,2.386568784713745,1.5448523504573972,1.3011823892593384,2.4081382751464844,1.5518177325789535,1.3010598421096802,2.4099433422088623,1.5523992212729503
GAT,29,0,256,2,6,0.4,0.0005,0.001,1.253981113433838,2.292478561401367,1.5140933133071315,1.2621428966522217,2.3134357929229736,1.5209982882708888,1.2547789812088013,2.2972867488861084,1.515680292438385
GAT,29,1,256,2,6,0.4,0.0005,0.001,1.2627190351486206,2.306105852127075,1.5185867944003317,1.262851357460022,2.3121182918548584,1.5205651225300607,1.2641024589538574,2.3101933002471924,1.5199320051394378
GAT,29,2,256,2,6,0.4,0.0005,0.001,1.2714794874191284,2.325998067855835,1.525122312424756,1.2773358821868896,2.3442487716674805,1.531093978718315,1.2754015922546387,2.3389711380004883,1.5293695230389837
GAT,30,0,256,2,6,0.4,0.001,0.0005,1.2171118259429932,2.204758882522583,1.4848430497943488,1.223952293395996,2.223177909851074,1.4910324979191683,1.220677137374878,2.2158501148223877,1.4885731808756961
GAT,30,1,256,2,6,0.4,0.001,0.0005,1.2320202589035034,2.2307863235473633,1.4935817096989918,1.232216715812683,2.2381656169891357,1.4960500048424636,1.2355016469955444,2.2464375495910645,1.4988120461188803
GAT,30,2,256,2,6,0.4,0.001,0.0005,1.2274090051651,2.2284278869628906,1.4927919771230318,1.2317322492599487,2.2502083778381348,1.5000694576712557,1.2335832118988037,2.2514145374298096,1.500471438391884
GAT,31,0,256,2,6,0.4,0.001,0.001,1.2332744598388672,2.2342963218688965,1.494756275072594,1.2370303869247437,2.247234582901001,1.4990779108842212,1.2368316650390625,2.2422571182250977,1.497416815127003
GAT,31,1,256,2,6,0.4,0.001,0.001,1.2273926734924316,2.228107213973999,1.4926845661337826,1.2293261289596558,2.237307548522949,1.4957631993477274,1.2289916276931763,2.23762845993042,1.4958704689679585
GAT,31,2,256,2,6,0.4,0.001,0.001,1.2065027952194214,2.1975762844085693,1.4824224379064725,1.2137774229049683,2.2243337631225586,1.4914200491888792,1.2107443809509277,2.2132952213287354,1.4877147647747317
